Incident energy;MT=2 : (z,elastic);MT=102 : (z,γ)
Incident energy;;
Incident energy;σ(E);σ(E)
3800000.0;2.320915;5.765068E-5
3810000.0;2.300583;5.770288E-5
3820000.0;2.280178;5.775509E-5
3830000.0;2.259726;5.780729E-5
3840000.0;2.239253;5.785949E-5
3850000.0;2.218785;5.791169E-5
3860000.0;2.198345;5.796389E-5
3870000.0;2.177955;5.801609E-5
3880000.0;2.157637;5.806829E-5
3890000.0;2.137414;5.812049E-5
3900000.0;2.117307;5.817269E-5
3910000.0;2.097339;5.822489E-5
3920000.0;2.077532;5.827709E-5
3930000.0;2.057912;5.832929E-5
3940000.0;2.038505;5.83815E-5
3950000.0;2.019342;5.84337E-5
3960000.0;2.000456;5.84859E-5
3970000.0;1.981887;5.85381E-5
3980000.0;1.963679;5.85903E-5
3990000.0;1.945888;5.86425E-5
4000000.0;1.928577;5.86947E-5
4010000.0;1.911826;5.873612E-5
4020000.0;1.895727;5.877753E-5
4030000.0;1.880397;5.881895E-5
4040000.0;1.865977;5.886036E-5
4050000.0;1.852638;5.890178E-5
4060000.0;1.840593;5.894319E-5
4070000.0;1.830099;5.898461E-5
4080000.0;1.821473;5.902602E-5
4090000.0;1.815095;5.906744E-5
4100000.0;1.811424;5.910885E-5
4110000.0;1.811003;5.915027E-5
4120000.0;1.814458;5.919168E-5
4130000.0;1.822492;5.92331E-5
4140000.0;1.835851;5.927451E-5
4150000.0;1.855264;5.931593E-5
4160000.0;1.881335;5.935734E-5
4170000.0;1.914385;5.939876E-5
4180000.0;1.954236;5.944017E-5
4190000.0;1.999989;5.948159E-5
4200000.0;2.049835;5.9523E-5
4210000.0;2.101041;5.956442E-5
4220000.0;2.150165;5.960583E-5
4230000.0;2.193559;5.964725E-5
4240000.0;2.228016;5.968866E-5
4250000.0;2.251364;5.973008E-5
4260000.0;2.262771;5.977149E-5
4270000.0;2.262697;5.981291E-5
4280000.0;2.252562;5.985432E-5
4290000.0;2.234302;5.989574E-5
4300000.0;2.209971;5.993715E-5
