Incident energy;MT=102 : (z,γ);MT=18 : (z,fission)
Incident energy;;
Incident energy;σ(E);σ(E)
3.06784;9.583995;36.76855
3.078979;10.7101;39.75267
3.101257;13.30351;46.19743
3.112396;14.6483;49.25171
3.123535;15.89082;51.80208
3.134674;16.90514;53.51941
3.145813;17.57126;54.12648
3.155725;17.80055;53.60653
3.16316;17.7312;52.55982
3.170594;17.46021;50.99816
3.185463;16.39702;46.66057
3.200332;14.85993;41.41501
3.2152;13.14552;36.10037
3.231424;11.35591;30.92403
3.247647;9.825413;26.74619
3.263871;8.611369;23.59754
3.280094;7.697387;21.34054
3.296318;7.038539;19.79435
3.312541;6.588057;18.79802
3.328765;6.30735;18.22788
3.344988;6.169014;17.99791
3.363916;6.166827;18.09042
3.382843;6.330165;18.5377
3.401771;6.67149;19.34532
3.420698;7.226402;20.56247
3.430162;7.603413;21.35412
3.439626;8.062193;22.2914
3.44909;8.618619;23.39836
3.458553;9.293258;24.70568
3.468017;10.11324;26.25311
3.47748;11.1138;28.0909
3.486944;12.34164;30.2838
3.496407;13.85707;32.91212
3.507223;16.04166;36.57661
3.512631;17.3569;38.72308
3.518038;18.84723;41.1082
3.527502;21.94175;45.9211
3.536966;25.74676;51.61728
3.54643;30.33822;58.21074
3.555893;35.71601;65.5827
3.570597;45.28209;77.77927
3.5853;55.08981;88.80105
3.5913;58.67165;92.24488
3.5973;61.75865;94.75235
3.6033;64.18948;96.13952
3.6093;65.82873;96.27494
3.615313;66.58182;95.09182
3.624332;65.95904;90.89692
3.63335;63.32975;84.1599
3.645375;57.31593;72.43121
3.6574;49.58707;59.40514
3.666691;43.27329;49.61781
3.675982;37.20466;40.73522
3.685273;31.70337;33.07703
3.689918;29.22118;29.742
3.694563;26.9295;26.73121
3.699209;24.828;24.03021
3.703854;22.9125;21.62088
3.708499;21.17365;19.47996
3.713144;19.6001;17.5832
3.71779;18.17875;15.90571
3.722435;16.89679;14.42442
3.72708;15.74058;13.11652
3.731725;14.69727;11.96141
3.736947;13.64428;10.82223
3.742169;12.70328;9.829419
3.747391;11.8604;8.962814
3.752613;11.1035;8.205121
3.757835;10.422;7.54159
3.763057;9.8068;6.959665
3.7735;8.745059;5.999483
3.781734;8.03986;5.397973
3.789968;7.429941;4.905336
3.798202;6.899981;4.501143
3.806435;6.437532;4.168949
3.814669;6.032162;3.895321
3.822902;5.675382;3.669491
3.839369;5.07989;3.327699
3.855837;4.60672;3.091859
3.872304;4.225198;2.928602
3.888771;3.913765;2.816156
3.905238;3.656682;2.739815
3.938173;3.260497;2.657041
3.971107;2.973437;2.629443
4.004042;2.761606;2.632338
4.036976;2.60383;2.652104
4.069911;2.486404;2.680845
4.102845;2.401023;2.714104
4.168714;2.297742;2.78527
4.234582;2.264788;2.857522
4.281926;2.281613;2.910223
4.329269;2.333539;2.965109
4.376612;2.424201;3.024211
4.423955;2.570319;3.091813
4.471298;2.795608;3.173551
4.49497;2.949651;3.222204
4.518641;3.14131;3.277942
4.542313;3.3818;3.342738
4.565984;3.688322;3.419459
4.589656;4.088396;3.512501
4.613327;4.624574;3.628332
4.629795;5.11236;3.727373
4.646262;5.733709;3.847076
4.662729;6.544085;3.994977
4.670963;7.046457;4.08299
4.679196;7.634124;4.183036
4.690003;8.572733;4.337431
4.70081;9.768412;4.526394
4.706214;10.49513;4.637812
4.711617;11.33171;4.763389
4.71702;12.30239;4.905998
4.722423;13.43769;5.069201
4.727827;14.7764;5.257474
4.73323;16.36632;5.476237
4.738633;18.26759;5.732237
4.744036;20.5533;6.033544
4.74944;23.31133;6.389717
4.754843;26.64211;6.811453
4.760246;30.65987;7.310692
4.765649;35.48641;7.899815
4.77131;41.5445;8.626543
4.77697;48.75216;9.476733
4.782631;57.21022;10.45846
4.788291;66.96181;11.57274
4.793952;77.98077;12.8125
4.799612;90.13577;14.15878
4.810933;116.7719;17.03466
4.825342;150.2372;20.47661
4.831482;162.1574;21.6271
4.837621;171.5378;22.46908
4.843761;177.7298;22.93907
4.8499;180.2843;22.99787
4.852713;180.1786;22.88381
4.861151;175.1084;22.03013
4.869588;163.5908;20.50544
4.88026;142.2235;17.91545
4.890932;117.0506;15.02044
4.901604;91.97637;12.24412
4.90694;80.41172;10.99648
4.912275;69.81547;9.872834
4.916263;62.60333;9.119977
4.92025;56.02647;8.4431
4.924238;50.08289;7.840607
4.928225;44.75961;7.30979
4.932213;40.02467;6.846074
4.9362;35.8417;6.444517
4.940188;32.16381;6.099244
4.944175;28.94499;5.804581
4.948163;26.13508;5.554599
4.95215;23.68817;5.343905
4.956138;21.55824;5.167257
4.960125;19.705;5.020072
4.964113;18.09007;4.898106
4.9681;16.68094;4.797755
4.976075;14.3654;4.649528
4.98405;12.56886;4.555147
4.992025;11.15291;4.500182
5.0;10.01852;4.474568
5.010599;8.828856;4.474345
5.021197;7.902165;4.503224
5.031796;7.16536;4.554622
5.042394;6.569957;4.624415
5.052993;6.082359;4.710012
5.063591;5.678873;4.809745
5.07419;5.342059;4.922607
5.084788;5.059026;5.047992
5.105985;4.617313;5.335637
5.127182;4.299797;5.673503
5.148379;4.07385;6.064779
5.169575;3.918194;6.513166
5.205063;3.777018;7.400758
5.24055;3.755741;8.472431
5.271602;3.830116;9.568648
5.302654;4.011094;10.80863
5.31818;4.16177;11.47874
5.333706;4.378608;12.17992
5.349232;4.701374;12.91083
5.356995;4.922208;13.28716
5.364757;5.197289;13.67051
5.373629;5.595441;14.11688
5.3825;6.103449;14.5707
5.390074;6.639117;14.96217
5.397647;7.277592;15.35427
5.405221;8.020347;15.74272
5.412794;8.858071;16.12134
5.443088;12.50153;17.36743
5.453851;13.46277;17.63404
5.464613;13.98291;17.78369
5.471775;14.03518;17.82044
5.478216;13.8749;17.81547
5.484657;13.52947;17.78036
5.497538;12.38424;17.64686
5.5233;9.289013;17.30323
5.53125;8.383107;17.20873
5.5392;7.573289;17.12412
5.5498;6.66816;17.02437
5.5604;5.9617;16.93391
5.571;5.429431;16.84602
5.5816;5.036567;16.75524
5.58976;4.807271;16.68115
5.597919;4.626589;16.60256
5.614238;4.369514;16.4317
5.630557;4.204628;16.246
5.646875;4.097985;16.05196
5.679513;3.993049;15.66722
5.71215;3.982042;15.32895
5.7579;4.083623;15.01122
5.80365;4.31475;14.95829
5.836522;4.567608;15.13031
5.869394;4.90842;15.52637
5.902266;5.361851;16.2119
5.935138;5.96132;17.27159
5.96801;6.754562;18.82404
5.984446;7.244666;19.8359
6.000882;7.811607;21.03929
6.017318;8.46882;22.46453
6.033754;9.231907;24.14423
6.05019;10.11831;26.11
6.066625;11.14627;28.38601
6.085882;12.5543;31.4563
6.105138;14.20278;34.92135
6.124394;16.10304;38.65879
6.14365;18.25641;42.44603
6.162907;20.67042;45.97187
6.182163;23.39752;48.89627
6.201419;26.60765;50.96439
6.211047;28.5085;51.65539
6.220675;30.71587;52.14632
6.229238;33.04098;52.45764
6.2378;35.84065;52.71073
6.248504;40.28931;53.06926
6.253856;43.04934;53.32544
6.259207;46.27176;53.67524
6.264559;50.05687;54.15652
6.26991;54.52002;54.8117
6.275262;59.79843;55.68851
6.280613;66.04421;56.83852
6.288092;76.72301;59.00952
6.295571;90.13286;61.97938
6.30305;106.7843;65.89769
6.310529;127.1294;70.88691
6.318008;151.4729;77.01565
6.325487;179.8642;84.26801
6.332966;211.9875;92.51383
6.340444;247.0659;101.4851
6.351825;303.1193;115.5687
6.361088;347.1017;126.1907
6.37035;385.0618;134.7287
6.379613;412.8019;140.0149
6.388875;426.9624;141.1813
6.392;428.3055;140.5631
6.399813;423.8622;136.7794
6.407625;408.7197;130.0079
6.418063;374.2422;117.162
